pl_name,hostname,disc_year,discoverymethod,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,sy_dist,sy_snum,sy_pnum
"Kepler-81 b","Kepler-81",2012,"Transit","Kepler",5.95500000000,0.0522000000,2.42000000,17.20000000,635.00,4385.00,348.29100000,1,3
"Kepler-81 c","Kepler-81",2012,"Transit","Kepler",12.04000000000,0.0834700000,2.37000000,4.30000000,502.00,4385.00,348.29100000,1,3
"Kepler-82 b","Kepler-82",2012,"Transit","Kepler",26.44000000000,0.1683000000,4.07000000,12.15000000,562.00,5401.00,904.32600000,1,5
"Kepler-82 c","Kepler-82",2012,"Transit","Kepler",51.54000000000,0.2626000000,5.34000000,13.90000000,450.00,5401.00,904.32600000,1,5
"Kepler-83 b","Kepler-83",2012,"Transit","Kepler",9.77000000000,0.0729500000,2.83000000,2.94000000,460.00,4082.00,400.40900000,2,3
"Kepler-83 c","Kepler-83",2012,"Transit","Kepler",20.09000000000,0.1179600000,2.36000000,2.03000000,362.00,4082.00,400.40900000,2,3
"Kepler-84 b","Kepler-84",2012,"Transit","Kepler",8.72600000000,0.0827000000,2.23000000,40.00000000,985.00,6039.00,1023.90000000,1,5
"Kepler-84 c","Kepler-84",2012,"Transit","Kepler",12.88300000000,0.1072000000,2.36000000,20.20000000,865.00,6039.00,1023.90000000,1,5
"Kepler-85 b","Kepler-85",2012,"Transit","Kepler",8.30000000000,0.0788500000,1.77800000,1.84000000,809.00,5505.20,765.02500000,1,4
"Kepler-85 c","Kepler-85",2012,"Transit","Kepler",12.51000000000,0.1036300000,1.97800000,2.15000000,706.00,5505.20,765.02500000,1,4
"MOA-2010-BLG-073L b","MOA-2010-BLG-073L",2012,"Microlensing","MOA",,1.2100000000,12.40000000,3500.00000000,,,2800.00000000,1,1
"MOA-2010-BLG-477L b","MOA-2010-BLG-477L",2012,"Microlensing","MOA",,2.0000000000,13.60000000,480.00000000,,5950.00,2300.00000000,1,1
"MOA-2011-BLG-293L b","MOA-2011-BLG-293L",2012,"Microlensing","MOA",550.00000000000,1.1000000000,12.90000000,1500.00000000,,,7720.00000000,1,1
"MOA-bin-1L b","MOA-bin-1L",2012,"Microlensing","MOA",,8.3000000000,13.00000000,1200.00000000,,,5100.00000000,1,1
"OGLE-2011-BLG-0251L b","OGLE-2011-BLG-0251L",2012,"Microlensing","OGLE",,2.7200000000,14.20000000,170.00000000,,,2570.00000000,1,1
"OGLE-2012-BLG-0026L b","OGLE-2012-BLG-0026L",2012,"Microlensing","OGLE",,4.0000000000,7.72000000,46.10000000,,,4019.00000000,1,2
"OGLE-2012-BLG-0026L c","OGLE-2012-BLG-0026L",2012,"Microlensing","OGLE",,4.8000000000,13.90000000,270.00000000,,,4019.00000000,1,2
"PH1 b","PH1",2012,"Transit","Kepler",138.31700000000,0.6520000000,6.18000000,169.00000000,481.00,6407.00,1033.16000000,4,1
"Pr0201 b","Pr0201",2012,"Radial Velocity","Fred Lawrence Whipple Observatory",4.42640000000,0.0600000000,14.20000000,171.62820000,1303.39,6174.00,180.64000000,1,1
"Pr0211 b","Pr0211",2012,"Radial Velocity","Fred Lawrence Whipple Observatory",2.14610000000,0.0317600000,13.40000000,597.52040000,1304.13,5300.00,182.71400000,2,2
"RR Cae b","RR Cae",2012,"Eclipse Timing Variations","Leoncito Astronomical Complex",4343.50000000000,5.3000000000,13.00000000,1334.88600000,35.94,3904.00,21.19160000,2,1
"WASP-42 b","WASP-42",2012,"Transit","SuperWASP",4.98168190000,0.0561000000,12.57649800,167.49641000,1021.00,5315.00,177.29100000,1,1
"WASP-47 b","WASP-47",2012,"Transit","SuperWASP",4.15915100000,0.0520000000,12.86000000,374.00000000,1275.00,5565.00,264.78000000,1,4
"WASP-49 b","WASP-49",2012,"Transit","SuperWASP",2.78174000000,0.0379000000,12.44199000,117.59710000,1400.00,5600.00,194.55300000,2,1
"WASP-52 b","WASP-52",2012,"Transit","SuperWASP",1.74977980000,0.0272000000,14.24000000,146.20000000,1315.00,5000.00,174.81800000,1,1
"WASP-54 b","WASP-54",2012,"Transit","SuperWASP",3.69364000000,0.0498800000,17.71022000,187.51970000,1759.00,6100.00,251.30300000,2,1
"WASP-55 b","WASP-55",2012,"Transit","SuperWASP",4.46563100000,0.0558000000,14.72860064,186.24744650,1342.00,6096.00,297.46200000,2,1
"WASP-56 b","WASP-56",2012,"Transit","SuperWASP",4.61710000000,0.0561400000,10.53646000,143.02350000,1216.00,5600.00,321.08400000,2,1
"WASP-57 b","WASP-57",2012,"Transit","SuperWASP",2.83891856000,0.0376900000,11.76945000,204.68252000,1338.00,5600.00,398.27600000,1,1
"WASP-58 b","WASP-58",2012,"Transit","SuperWASP",5.01718000000,0.0562000000,16.02887000,308.29510000,1270.00,5800.00,290.40400000,2,1
"WASP-59 b","WASP-59",2012,"Transit","SuperWASP",7.91958500000,0.0697000000,8.68700000,274.27600000,670.00,4650.00,115.93600000,1,1
"WASP-60 b","WASP-60",2012,"Transit","SuperWASP",4.30500000000,0.0554800000,9.86392000,174.80650000,1479.00,5900.00,431.05200000,1,1
"WASP-61 b","WASP-61",2012,"Transit","SuperWASP",3.85590000000,0.0521000000,15.80469000,851.78440000,1624.40,6250.00,488.66000000,1,1
"WASP-62 b","WASP-62",2012,"Transit","SuperWASP",4.41195000000,0.0571000000,14.79588000,165.27160000,1475.30,6230.00,175.63100000,1,1
"WASP-63 b","WASP-63",2012,"Transit","SuperWASP",4.37808000000,0.0574000000,15.80469000,117.59710000,1469.91,5550.00,290.68400000,1,1
"WASP-64 b","WASP-64",2012,"Transit","SuperWASP",1.57329180000,0.0264800000,14.24700000,403.94500000,1689.00,5400.00,369.92600000,2,1
"WASP-66 b","WASP-66",2012,"Transit","SuperWASP",4.08605000000,0.0546000000,15.69260000,746.90050000,1569.70,6600.00,500.25800000,1,1
"WASP-67 b","WASP-67",2012,"Transit","SuperWASP",4.61442000000,0.0517900000,12.89035000,136.66690000,1003.00,5200.00,189.46900000,1,1
"WASP-71 b","WASP-71",2012,"Transit","SuperWASP",2.90367000000,0.0460000000,13.22662000,441.78370000,2016.10,6050.00,362.71500000,1,1
"WASP-72 b","WASP-72",2012,"Transit","SuperWASP",2.21673000000,0.0371100000,14.45961000,731.00900000,2210.00,6250.00,434.75400000,1,1
"WASP-77 A b","WASP-77 A",2012,"Transit","SuperWASP",1.36002939500,0.0232336330,13.56000000,529.31142902,1674.00,5617.00,105.16600000,2,1
"WASP-78 b","WASP-78",2012,"Transit","SuperWASP",2.17518000000,0.0348800000,21.63337000,352.79130000,2469.70,6100.00,754.25800000,1,1
"WASP-79 b","WASP-79",2012,"Transit","SuperWASP",3.66239200000,0.0519000000,17.14974047,270.15414595,1716.20,6600.00,246.69000000,1,1
"WASP-80 b","WASP-80",2012,"Transit","SuperWASP",3.06785234000,0.0344000000,11.19779100,170.99254000,825.00,4143.00,49.78760000,1,1
"WISEP J121756.91+162640.2 A b","WISEP J121756.91+162640.2 A",2012,"Imaging","W. M. Keck Observatory",,8.0000000000,10.46800000,6992.00000000,450.00,575.00,10.10000000,1,1
"WTS-1 b","WTS-1",2012,"Transit","United Kingdom Infrared Telescope",3.35205700000,0.0470000000,16.70000000,1274.44000000,1500.00,6250.00,2346.01000000,1,1
"eps CrB b","eps CrB",2012,"Radial Velocity","Bohyunsan Optical Astronomical Observatory",417.90000000000,1.3000000000,12.70000000,2129.46100000,853.92,4406.00,69.86830000,1,1
"kap And b","kap And",2012,"Imaging","Subaru Telescope",,55.0000000000,15.91675259,5498.43144110,1791.00,11327.00,50.01770000,1,1
"nu Oph b","nu Oph",2012,"Radial Velocity","Okayama Astrophysical Observatory",529.93000000000,1.7650000000,12.00000000,7057.73298000,620.57,4887.00,46.21070000,1,2
"nu Oph c","nu Oph",2012,"Radial Velocity","Okayama Astrophysical Observatory",3180.60000000000,5.8290000000,12.00000000,7838.32346000,341.48,4887.00,46.21070000,1,2
"omi CrB b","omi CrB",2012,"Radial Velocity","Okayama Astrophysical Observatory",187.01000000000,0.6990000000,13.70000000,355.96781584,947.65,4769.00,84.78830000,1,1
"omi UMa b","omi UMa",2012,"Radial Velocity","Okayama Astrophysical Observatory",1569.81000000000,3.6910000000,13.00000000,1160.39151396,473.88,5075.00,54.91490000,2,1
"2MASS J01033563-5515561 AB b","2MASS J01033563-5515561 A",2013,"Imaging","Paranal Observatory",,84.0000000000,12.30000000,4131.79000000,,,47.20000000,2,1
"2MASS J01225093-2439505 b","2MASS J01225093-2439505",2013,"Imaging","W. M. Keck Observatory",,52.0000000000,11.20900000,7786.50000000,1600.00,3530.00,33.82810000,1,1
"91 Aqr b","91 Aqr",2013,"Radial Velocity","Lick Observatory",181.40000000000,0.7000000000,13.10000000,1017.00000000,891.73,4665.00,44.03040000,3,1
"BD+15 2940 b","BD+15 2940",2013,"Radial Velocity","McDonald Observatory",137.48000000000,0.5390000000,13.70000000,352.78000000,1207.75,4796.00,426.42000000,1,1
"BD-06 1339 b","BD-06 1339",2013,"Radial Velocity","La Silla Observatory",3.87280000000,0.0428000000,,1523.03372634,834.97,4324.00,20.26950000,1,2
"BD-06 1339 c","BD-06 1339",2013,"Radial Velocity","La Silla Observatory",125.94000000000,0.4350000000,8.38000000,53.00000000,261.91,4324.00,20.26950000,1,2
"CoRoT-25 b","CoRoT-25",2013,"Transit","CoRoT",4.86069000000,0.0578000000,12.11000000,85.81000000,1330.00,6040.00,1103.48000000,1,1
"CoRoT-26 b","CoRoT-26",2013,"Transit","CoRoT",4.20474000000,0.0526000000,14.12000000,165.26000000,1600.00,5590.00,1045.18000000,1,1
"DENIS-P J082303.1-491201 b","DENIS-P J082303.1-491201",2013,"Astrometry","Paranal Observatory",246.36000000000,0.3600000000,11.90000000,9057.77000000,,,20.77000000,1,1
"GJ 163 b","GJ 163",2013,"Radial Velocity","La Silla Observatory",8.63182000000,0.0607000000,3.25000000,10.60000000,438.49,3500.00,15.12850000,1,3
"GJ 163 c","GJ 163",2013,"Radial Velocity","La Silla Observatory",25.63058000000,0.1254000000,2.50000000,6.80000000,305.07,3500.00,15.12850000,1,3
"GJ 163 d","GJ 163",2013,"Radial Velocity","La Silla Observatory",603.95116000000,1.0304000000,5.92000000,29.40000000,106.43,3500.00,15.12850000,1,3
"GJ 328 b","GJ 328",2013,"Radial Velocity","McDonald Observatory",3771.00000000000,4.1100000000,13.30000000,797.74930157,73.57,3897.00,20.52660000,1,2
"GJ 433 b","GJ 433",2013,"Radial Velocity","La Silla Observatory",7.37050000000,0.0620000000,2.33000000,6.04300000,473.94,3461.00,9.06456000,1,3
"GJ 504 b","GJ 504",2013,"Imaging","Subaru Telescope",,43.5000000000,12.10569916,1271.30000000,510.00,6234.00,17.52990000,1,1
"GJ 667 C c","GJ 667 C",2013,"Radial Velocity","La Silla Observatory",28.14000000000,0.1250000000,1.77000000,3.80000000,,3350.00,7.24396000,3,5
"GJ 667 C e","GJ 667 C",2013,"Radial Velocity","La Silla Observatory",62.24000000000,0.2130000000,1.45000000,2.70000000,,3350.00,7.24396000,3,5
"GJ 667 C f","GJ 667 C",2013,"Radial Velocity","La Silla Observatory",39.02600000000,0.1560000000,1.45000000,2.70000000,,3350.00,7.24396000,3,5
"GJ 667 C g","GJ 667 C",2013,"Radial Velocity","La Silla Observatory",256.20000000000,0.5490000000,1.99000000,4.60000000,,3350.00,7.24396000,3,5
"HATS-2 b","HATS-2",2013,"Transit","HATSouth",1.35413379000,0.0231700000,12.57647635,435.42491759,1550.00,5227.00,341.92500000,1,1
"HATS-3 b","HATS-3",2013,"Transit","HATSouth",3.54785100000,0.0485000000,15.48000000,340.38200000,1648.00,6351.00,411.21100000,1,1
"HD 103774 b","HD 103774",2013,"Radial Velocity","La Silla Observatory",5.88810000000,0.0700000000,13.30000000,116.00000000,1487.08,6489.00,56.40890000,2,1
"HD 106906 b","HD 106906",2013,"Imaging","Las Campanas Observatory",,650.0000000000,12.40000000,3496.00000000,1800.00,6516.00,103.02900000,1,1
"HD 109271 b","HD 109271",2013,"Radial Velocity","La Silla Observatory",7.85430000000,0.0790000000,4.31000000,17.16200000,1128.86,5783.00,55.87160000,1,2
"HD 109271 c","HD 109271",2013,"Radial Velocity","La Silla Observatory",30.93000000000,0.1960000000,5.27000000,24.15400000,716.68,5783.00,55.87160000,1,2
"HD 113337 b","HD 113337",2013,"Radial Velocity","Haute-Provence Observatory",317.58639000000,1.0220000000,13.10000000,1035.80277841,395.73,6774.00,36.18000000,3,2
"HD 120084 b","HD 120084",2013,"Radial Velocity","Okayama Astrophysical Observatory",2142.00000000000,4.2100000000,12.70000000,2034.10180480,369.24,4879.00,103.04400000,1,1
"HD 13908 b","HD 13908",2013,"Radial Velocity","Haute-Provence Observatory",19.38200000000,0.1540000000,13.90000000,274.91000000,993.25,6255.00,79.55150000,1,2
"HD 13908 c","HD 13908",2013,"Radial Velocity","Haute-Provence Observatory",931.00000000000,2.0300000000,12.80000000,1630.40000000,273.57,6255.00,79.55150000,1,2
"HD 159243 b","HD 159243",2013,"Radial Velocity","Haute-Provence Observatory",12.62000000000,0.1100000000,13.70000000,359.13000000,942.13,6123.00,73.30550000,1,2
"HD 159243 c","HD 159243",2013,"Radial Velocity","Haute-Provence Observatory",248.40000000000,0.8000000000,13.40000000,603.90000000,349.35,6123.00,73.30550000,1,2
"HD 233604 b","HD 233604",2013,"Radial Velocity","McDonald Observatory",192.00000000000,0.7470000000,12.70000000,2089.64400000,882.50,4791.00,847.05800000,1,1
"HD 285507 b","HD 285507",2013,"Radial Velocity","Fred Lawrence Whipple Observatory",6.08810000000,0.0600000000,13.80000000,311.47340000,736.35,4503.00,45.02930000,1,1
"HD 2952 b","HD 2952",2013,"Radial Velocity","Okayama Astrophysical Observatory",312.08000000000,1.1170000000,13.90000000,284.77425267,731.02,4853.00,110.10300000,1,1
"HD 40307 f","HD 40307",2013,"Radial Velocity","La Silla Observatory",51.76000000000,0.2470000000,2.13000000,5.20000000,398.00,4956.00,12.93630000,1,5
"HD 40307 g","HD 40307",2013,"Radial Velocity","La Silla Observatory",197.80000000000,0.6000000000,2.56000000,7.10000000,255.00,4956.00,12.93630000,1,5
"HD 65216 c","HD 65216",2013,"Radial Velocity","La Silla Observatory",5370.00000000000,5.7500000000,13.40000000,645.19490000,105.87,5612.00,35.12050000,3,2
"HD 95086 b","HD 95086",2013,"Imaging","Paranal Observatory",,55.7000000000,12.90000000,1589.00000000,1000.00,7595.00,86.22790000,1,1
"HIP 63242 b","HIP 63242",2013,"Radial Velocity","Multiple Observatories",124.60000000000,0.5650000000,12.50000000,2917.56000000,993.26,4830.00,156.45600000,1,1
"HIP 91258 b","HIP 91258",2013,"Radial Velocity","Haute-Provence Observatory",5.05050000000,0.0600000000,13.70000000,346.43470000,1024.97,5519.00,45.88460000,1,1
"KELT-3 b","KELT-3",2013,"Transit","KELT",2.70339000000,0.0412300000,17.48604000,616.59020000,1816.00,6304.00,210.25200000,2,1
"KOI-142 b","KOI-142",2013,"Transit","Kepler",10.91647000000,0.0958600000,3.43800000,9.50000000,758.00,5466.00,376.86300000,1,3
"KOI-142 c","KOI-142",2013,"Transit Timing Variations","Kepler",22.26492000000,0.1541210030,14.00000000,214.10000000,635.87,5466.00,376.86300000,1,3
"KOI-1843.03","Kepler-974",2013,"Transit","Kepler",0.17689130000,0.0050000000,0.61000000,8.00000000,1654.00,3584.00,134.31100000,1,2
"KOI-351 b","KOI-351",2013,"Transit","Kepler",7.00815100000,0.0740000000,1.31000000,2.27000000,1062.00,6080.00,848.25400000,1,8
"KOI-351 c","KOI-351",2013,"Transit","Kepler",8.71937500000,0.0890000000,1.19000000,1.81000000,987.00,6080.00,848.25400000,1,8
"KOI-351 d","KOI-351",2013,"Transit","Kepler",59.73667000000,0.3200000000,2.87000000,8.60000000,520.00,6080.00,848.25400000,1,8
"KOI-351 e","KOI-351",2013,"Transit","Kepler",91.93913000000,0.4200000000,2.66000000,7.56000000,450.00,6080.00,848.25400000,1,8
"KOI-351 f","KOI-351",2013,"Transit","Kepler",124.91440000000,0.4800000000,2.88000000,8.65000000,407.00,6080.00,848.25400000,1,8
"KOI-351 g","KOI-351",2013,"Transit","Kepler",210.73514000000,0.7170400000,7.71800000,15.00000000,342.00,6031.13,848.25400000,1,8
"KOI-351 h","KOI-351",2013,"Transit","Kepler",331.60296000000,0.9706200000,11.25200000,203.00000000,294.00,6031.13,848.25400000,1,8
"KOI-94 b","KOI-94",2013,"Transit","Kepler",3.74320800000,0.0511900000,1.71000000,10.50000000,1486.00,6182.00,477.05200000,2,4
"KOI-94 c","KOI-94",2013,"Transit","Kepler",10.42364800000,0.1013000000,4.32000000,15.60000000,1012.00,6182.00,477.05200000,2,4
"KOI-94 d","KOI-94",2013,"Transit","Kepler",22.34298900000,0.1684000000,11.27000000,106.00000000,806.00,6182.00,477.05200000,2,4
"KOI-94 e","KOI-94",2013,"Transit","Kepler",54.32031000000,0.3046000000,6.56000000,35.00000000,584.00,6182.00,477.05200000,2,4
"Kepler-102 e","Kepler-102",2013,"Transit","Kepler",16.14569940000,0.1162000000,2.17000000,4.70000000,590.00,4909.00,107.79600000,1,5
"Kepler-105 b","Kepler-105",2013,"Transit","Kepler",5.41220340000,0.0601600000,2.53000000,10.80000000,1418.00,5933.00,459.22300000,1,2
"Kepler-114 c","Kepler-114",2013,"Transit","Kepler",8.04100000000,0.0648200000,1.60000000,2.80000000,507.00,4660.00,259.53300000,1,3
"Kepler-114 d","Kepler-114",2013,"Transit","Kepler",11.77600000000,0.0835800000,2.53000000,3.90000000,446.00,4660.00,259.53300000,1,3
"Kepler-128 b","Kepler-128",2013,"Transit","Kepler",15.00000000000,0.1254500000,1.42100000,3.79000000,968.00,6072.00,396.37900000,1,2
"Kepler-128 c","Kepler-128",2013,"Transit","Kepler",22.80000000000,0.1651700000,1.52100000,3.38000000,843.00,6072.00,396.37900000,1,2
"Kepler-145 b","Kepler-145",2013,"Transit","Kepler",22.95100000000,0.1730800000,2.65000000,37.10000000,873.00,6022.00,566.85000000,1,2
"Kepler-145 c","Kepler-145",2013,"Transit","Kepler",42.88200000000,0.2624400000,4.32000000,79.40000000,709.00,6022.00,566.85000000,1,2
"Kepler-177 b","Kepler-177",2013,"Transit","Kepler",36.86010000000,0.2110100000,3.50000000,5.84000000,549.00,5732.00,1435.44000000,1,2
"Kepler-177 c","Kepler-177",2013,"Transit","Kepler",49.40926000000,0.2565500000,8.73000000,14.70000000,497.00,5732.00,1435.44000000,1,2
"Kepler-238 e","Kepler-238",2013,"Transit","Kepler",23.65400000000,0.1728600000,5.60000000,169.70000000,731.00,5800.00,1798.75000000,1,5
"Kepler-238 f","Kepler-238",2013,"Transit","Kepler",50.44700000000,0.2863500000,2.00000000,13.50000000,568.00,5800.00,1798.75000000,1,5
"Kepler-276 c","Kepler-276",2013,"Transit","Kepler",31.88400000000,0.1861900000,2.90000000,16.60000000,563.00,5693.00,1144.86000000,1,3
"Kepler-276 d","Kepler-276",2013,"Transit","Kepler",48.64800000000,0.2466600000,2.80000000,16.30000000,489.00,5693.00,1144.86000000,1,3
"Kepler-277 b","Kepler-277",2013,"Transit","Kepler",17.32400000000,0.1416800000,2.92000000,87.30000000,964.00,5946.00,976.64300000,1,2
"Kepler-277 c","Kepler-277",2013,"Transit","Kepler",33.00600000000,0.2178100000,3.36000000,64.20000000,778.00,5946.00,976.64300000,1,2
"Kepler-279 c","Kepler-279",2013,"Transit","Kepler",35.73600000000,0.2236000000,4.30000000,49.40000000,774.00,6689.45,1037.40000000,1,4
"Kepler-279 d","Kepler-279",2013,"Transit","Kepler",54.41400000000,0.2901000000,3.10000000,37.50000000,574.00,6689.45,1037.40000000,1,4
"Kepler-282 d","Kepler-282",2013,"Transit","Kepler",24.80600000000,0.1583700000,2.46000000,61.00000000,588.00,5656.00,1337.61000000,1,4
"Kepler-282 e","Kepler-282",2013,"Transit","Kepler",44.34700000000,0.2333200000,3.10000000,56.20000000,484.00,5656.00,1337.61000000,1,4
"Kepler-305 b","Kepler-305",2013,"Transit","Kepler",5.48700000000,0.0574600000,3.60000000,10.50000000,836.00,5080.00,868.47700000,1,4
"Kepler-305 c","Kepler-305",2013,"Transit","Kepler",8.29100000000,0.0756800000,3.30000000,6.00000000,728.00,5080.00,868.47700000,1,4
"Kepler-307 b","Kepler-307",2013,"Transit","Kepler",10.42080000000,0.0935900000,2.43000000,7.44000000,797.00,5367.00,575.58100000,1,2
"Kepler-307 c","Kepler-307",2013,"Transit","Kepler",13.07290000000,0.1089600000,2.20000000,3.64000000,739.00,5367.00,575.58100000,1,2
"Kepler-328 b","Kepler-328",2013,"Transit","Kepler",34.92100000000,0.2199000000,2.30000000,28.50000000,602.00,6064.00,2213.19000000,1,2
"Kepler-328 c","Kepler-328",2013,"Transit","Kepler",71.31200000000,0.3540000000,5.40000000,39.40000000,475.00,6064.00,2213.19000000,1,2
"Kepler-350 c","Kepler-350",2013,"Transit","Kepler",17.84900000000,0.1385000000,3.10000000,6.10000000,888.00,6492.30,956.85900000,1,3
"Kepler-350 d","Kepler-350",2013,"Transit","Kepler",26.13600000000,0.1786000000,2.80000000,14.90000000,782.00,6492.30,956.85900000,1,3
"Kepler-37 b","Kepler-37",2013,"Transit","Kepler",13.36702000000,0.1019000000,0.30980000,0.79000000,718.00,5357.00,63.92070000,1,4
"Kepler-37 c","Kepler-37",2013,"Transit","Kepler",21.30184800000,0.1390000000,0.75500000,1.30000000,615.00,5357.00,63.92070000,1,4
"Kepler-37 d","Kepler-37",2013,"Transit","Kepler",39.79226220000,0.2109000000,2.03000000,2.00000000,499.00,5357.00,63.92070000,1,4
"Kepler-396 b","Kepler-396",2013,"Transit","Kepler",42.99400000000,0.2406700000,3.50000000,75.50000000,496.00,5656.00,223.75700000,1,2
"Kepler-396 c","Kepler-396",2013,"Transit","Kepler",88.50500000000,0.3894600000,5.30000000,17.90000000,390.00,5656.00,223.75700000,1,2
"Kepler-410 A b","Kepler-410 A",2013,"Transit","Kepler",17.83364800000,0.1226000000,2.83800000,8.44000000,866.00,6273.00,147.52700000,2,1
"Kepler-411 b","Kepler-411",2013,"Transit","Kepler",3.00515600000,0.0375000000,2.40100000,25.60000000,1138.00,4974.00,153.67600000,2,4
"Kepler-61 b","Kepler-61",2013,"Transit","Kepler",59.87756000000,0.2486100000,2.15000000,5.27000000,273.00,4017.00,335.07900000,1,1
"Kepler-62 b","Kepler-62",2013,"Transit","Kepler",5.71493200000,0.0553000000,1.31000000,9.00000000,750.00,4925.00,300.87400000,1,5
"Kepler-62 c","Kepler-62",2013,"Transit","Kepler",12.44170000000,0.0929000000,0.54000000,4.00000000,578.00,4925.00,300.87400000,1,5
"Kepler-62 d","Kepler-62",2013,"Transit","Kepler",18.16406000000,0.1200000000,1.95000000,14.00000000,510.00,4925.00,300.87400000,1,5
"Kepler-62 e","Kepler-62",2013,"Transit","Kepler",122.38740000000,0.4270000000,1.61000000,36.00000000,270.00,4925.00,300.87400000,1,5
"Kepler-62 f","Kepler-62",2013,"Transit","Kepler",267.29100000000,0.7180000000,1.41000000,35.00000000,208.00,4925.00,300.87400000,1,5
"Kepler-63 b","Kepler-63",2013,"Transit","Kepler",9.43415050000,0.0800000000,6.11000000,120.00000000,791.00,5576.00,194.03300000,1,1
"Kepler-66 b","Kepler-66",2013,"Transit","Kepler",17.81581500000,0.1352000000,2.80000000,8.25000000,699.00,5962.00,1202.96000000,1,1
"Kepler-67 b","Kepler-67",2013,"Transit","Kepler",15.72590000000,0.1171000000,2.94000000,8.96000000,602.00,5331.00,1131.19000000,1,1
"Kepler-68 b","Kepler-68",2013,"Transit","Kepler",5.39875259000,0.0613500000,2.35700000,8.03000000,1275.00,5847.00,144.16600000,2,4
"Kepler-68 c","Kepler-68",2013,"Transit","Kepler",9.60502700000,0.0900800000,0.97900000,1.30000000,1052.00,5847.00,144.16600000,2,4
"Kepler-68 d","Kepler-68",2013,"Radial Velocity","W. M. Keck Observatory",632.62000000000,1.4690000000,13.90000000,267.00000000,260.75,5847.00,144.16600000,2,4
"Kepler-69 b","Kepler-69",2013,"Transit","Kepler",13.72234100000,0.0940000000,2.24000000,5.65000000,779.00,5638.00,730.62500000,1,2
"Kepler-69 c","Kepler-69",2013,"Transit","Kepler",242.46130000000,0.6400000000,1.71000000,3.57000000,299.00,5638.00,730.62500000,1,2
"Kepler-74 b","Kepler-74",2013,"Transit","Kepler",7.34071100000,0.0781000000,10.76000000,200.22000000,1078.00,6000.00,1177.55000000,1,1
"Kepler-75 b","Kepler-75",2013,"Transit","Kepler",8.88491160000,0.0818000000,11.77000000,3209.90000000,767.00,5200.00,835.35600000,1,1
"Kepler-76 b","Kepler-76",2013,"Orbital Brightness Modulation","Kepler",1.54492980000,0.0274000000,15.24424000,638.83830000,2140.00,6409.00,822.96000000,1,1
"Kepler-77 b","Kepler-77",2013,"Transit","Kepler",3.57878087000,0.0450100000,10.76100000,136.66100000,1440.00,5520.00,639.41100000,1,1
"Kepler-78 b","Kepler-78",2013,"Transit","Kepler",0.35500745000,0.0090100000,1.20100000,1.68000000,2223.00,5058.00,124.37600000,2,1
"Kepler-87 b","Kepler-87",2013,"Transit","Kepler",114.73635000000,0.4810000000,13.49000000,324.20000000,478.00,5600.00,1232.90000000,1,2
"Kepler-87 c","Kepler-87",2013,"Transit","Kepler",191.23180000000,0.6760000000,6.14000000,6.40000000,403.00,5600.00,1232.90000000,1,2
"Kepler-91 b","Kepler-91",2013,"Transit","Kepler",6.24658000000,0.0731000000,15.32270300,257.44230000,2040.00,4550.00,1294.69000000,1,1
"Kepler-92 b","Kepler-92",2013,"Transit","Kepler",13.74900000000,0.1223200000,3.51000000,64.30000000,975.00,5883.00,477.99200000,1,3
"Kepler-92 c","Kepler-92",2013,"Transit","Kepler",26.72300000000,0.1905400000,2.60000000,6.10000000,781.00,5883.00,477.99200000,1,3
"MOA-2008-BLG-379L b","MOA-2008-BLG-379L",2013,"Microlensing","MOA",,2.7000000000,13.00000000,1300.00000000,,,3300.00000000,1,1
"MOA-2010-BLG-328L b","MOA-2010-BLG-328L",2013,"Microlensing","MOA",,0.9200000000,2.99000000,9.20000000,,,810.00000000,1,1
"MOA-2011-BLG-322L b","MOA-2011-BLG-322L",2013,"Microlensing","MOA",,4.3000000000,12.40000000,3690.00000000,,,7560.00000000,1,1
"OGLE-2012-BLG-0358L b","OGLE-2012-BLG-0358L",2013,"Microlensing","OGLE",,0.8700000000,13.40000000,588.00000000,,,1760.00000000,1,1
"OGLE-2012-BLG-0406L b","OGLE-2012-BLG-0406L",2013,"Microlensing","OGLE",,3.4500000000,13.20000000,868.00000000,,,4970.00000000,1,1
"PH2 b","PH2",2013,"Transit","Kepler",282.52542000000,0.8330000000,9.33708092,87.08498352,295.10,5734.00,343.86300000,1,1
"POTS-1 b","POTS-1",2013,"Transit","La Silla Observatory",3.16062960000,0.0373400000,10.54800000,734.16000000,841.95,4400.00,747.95900000,1,1
"ROXs 12 b","ROXs 12",2013,"Imaging","W. M. Keck Observatory",,210.0000000000,12.20000000,5085.00000000,13.23,3850.00,136.65000000,2,1
"ROXs 42 B b","ROXs 42 B",2013,"Imaging","Multiple Observatories",,157.0000000000,12.50000000,2860.00000000,1975.00,3433.00,143.59000000,2,1
"WASP-65 b","WASP-65",2013,"Transit","SuperWASP",2.31142430000,0.0334000000,12.46400000,492.62000000,1480.00,5600.00,273.70300000,1,1
"WASP-75 b","WASP-75",2013,"Transit","SuperWASP",2.48419300000,0.0375000000,14.23500000,340.06000000,1710.00,6100.00,294.00100000,2,1
"WASP-8 c","WASP-8",2013,"Radial Velocity","SuperWASP",4323.00000000000,5.2800000000,12.50000000,3003.37000000,116.99,5690.00,89.96060000,2,2
